Protein	BinNumber	BinName	TrivialName
at1g12230	GMM:7.2.2	OPP.non-reductive PP.transaldolase	35.2
at2g19430	GMM:33.99	development.unspecified	AtTHO6;DWA1;THO6
at3g04030	GMM:27.3.25;GMM:27.3.20	RNA.regulation of transcription.MYB domain transcription factor family;RNA.regulation of transcription.G2-like transcription factor family (GARP)	35.2
at2g10310	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at5g50423	GMM:20.1.7.12	stress.biotic.PR-proteins.PR12 (plant defensins)	35.2
at3g11960	GMM:27.1.1	RNA.processing.splicing	35.2
at3g42420	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at5g55660	35.2	35.2	35.2
at5g65050	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	AGL31;MAF2
at1g06853	35.2	35.2	35.2
at1g71950	35.2	35.2	35.2
at1g66810	GMM:27.3.99	RNA.regulation of transcription.unclassified	35.2
at2g34920	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	EDA18
at4g02510	GMM:29.3.3	protein.targeting.chloroplast	TOC86;ATTOC159;TOC159;TOC160
at2g14945	GMM:35.2	not assigned.unknown	35.2
at5g27010	35.2	35.2	35.2
at3g42990	35.2	35.2	35.2
at1g09410	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	35.2
at2g05670	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at3g56420	GMM:21.1	redox.thioredoxin	35.2
at2g13146	35.2	35.2	35.2
at2g27220	GMM:27.3.22	RNA.regulation of transcription.homeobox transcription factor family (HB)	BLH5
at1g09217	35.2	35.2	35.2
at3g31560	GMM:35.2	not assigned.unknown	35.2
at3g04780	35.2	35.2	35.2
at1g14070	GMM:10.3	cell wall.hemicellulose synthesis	FUT7
at5g63910	35.2	35.2	FCLY
at1g67640	GMM:34.3	transport.amino acids	35.2
at3g14010	GMM:35.1.41	not assigned.no ontology.hydroxyproline rich proteins	CID4
at1g12470	GMM:29.3.4.3	protein.targeting.secretory pathway.vacuole	35.2
at4g20830	GMM:26.8	"misc.nitrilases, nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"	35.2
at5g03590	GMM:26.28	misc.GDSL-motif lipase	35.2
at1g65910	GMM:27.3.27	RNA.regulation of transcription.NAC domain transcription factor family	NAC028;anac028
at1g20850	GMM:29.5.3	protein.degradation.cysteine protease	XCP2
at2g04785	35.2	35.2	35.2
at5g29020	35.2	35.2	35.2
at1g63820	35.2	35.2	35.2
at5g56220	GMM:35.2	not assigned.unknown	35.2
at4g07947	35.2	35.2	35.2
at5g16220	35.2	35.2	35.2
at3g42590	35.2	35.2	35.2
at5g35300	35.2	35.2	35.2
at1g09440	GMM:29.4.1.55	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase V	35.2
at2g01600	GMM:35.1.21	not assigned.no ontology.epsin N-terminal homology (ENTH) domain-containing protein	35.2
at3g11230	GMM:35.1	not assigned.no ontology	35.2
at5g06540	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	35.2
at3g07410	GMM:30.5	signalling.G-proteins	AtRABA5b;RABA5b
at1g65630	GMM:29.5.5	protein.degradation.serine protease	DegP3
at1g23250	GMM:11.4	lipid metabolism.TAG synthesis	35.2
at2g04100	GMM:34.99	transport.misc	35.2
at4g25635	GMM:29.2.7.1.11	protein.synthesis.transfer RNA.nucleus.tRNA-Leu	35.2
at2g18685	GMM:35.2	not assigned.unknown	35.2
at1g80165	GMM:35.2	not assigned.unknown	35.2
at3g27420	35.2	35.2	35.2
at1g12290	GMM:20.1.7	stress.biotic.PR-proteins	35.2
at2g06060	GMM:28.1.1.2	DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon	35.2
at3g42806	GMM:28.1.1.7	DNA.synthesis/chromatin structure.retrotransposon/transposase.mutator-like transposase	35.2
at1g60710	GMM:17.2.3	hormone metabolism.auxin.induced-regulated-responsive-activated	35.2
at2g04390	GMM:29.2.1.2.1.17	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S17	35.2
at1g74150	GMM:35.1	not assigned.no ontology	35.2
at1g28860	GMM:29.2.7.1.15	protein.synthesis.transfer RNA.nucleus.tRNA-Pro	35.2
at5g05585	35.2	35.2	35.2
at4g04830	GMM:29.4	protein.postranslational modification	ATMSRB5;MSRB5
at2g01040	GMM:20.1	stress.biotic	35.2
at5g31855	35.2	35.2	35.2
at1g56675	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at4g29654	GMM:29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	35.2
at4g00550	GMM:11.10.2	lipid metabolism.glycolipid synthesis.DGDG synthase	DGD2
at2g40740	GMM:27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family	ATWRKY55;WRKY55
at3g16712	35.2	35.2	35.2
at5g42370	35.2	35.2	35.2
at5g63135	35.2	35.2	35.2
at1g60095	GMM:26.16	misc.myrosinases-lectin-jacalin	35.2
at3g25180	GMM:26.10	misc.cytochrome P450	CYP82G1
at1g08875	35.2	35.2	35.2
at3g07135	35.2	35.2	35.2
at4g04950	GMM:21.1	redox.thioredoxin	35.2
at3g07935	35.2	35.2	35.2
at3g54570	GMM:30.3	signalling.calcium	35.2
at1g57150	GMM:29.2.7.1.16	protein.synthesis.transfer RNA.nucleus.tRNA-Ser	35.2
at1g19450	GMM:34.2	transport.sugars	35.2
at1g08550	GMM:16.1.4.21	secondary metabolism.isoprenoids.carotenoids.violaxanthin de-epoxidase	NPQ1;AVDE1
at5g11190	GMM:27.3.3	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family"	SHN3
at3g51350	GMM:29.5.4	protein.degradation.aspartate protease	35.2
at5g58530	GMM:21.4	redox.glutaredoxins	35.2
at5g02020	35.2	35.2	SIS
at1g52280	GMM:30.5	signalling.G-proteins	RABG3d;AtRABG3d
at5g23850	35.2	35.2	35.2
at3g07290	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	35.2
at5g26236	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at5g59090	GMM:29.5.1	protein.degradation.subtilases	SBT4.12;ATSBT4.12
at3g53730	GMM:28.1.3.2.4	DNA.synthesis/chromatin structure.histone.core.H4	35.2
at3g08860	GMM:13.2.4.1	amino acid metabolism.degradation.branched chain group.shared	PYD4
at3g13672	GMM:33.99	development.unspecified	35.2
at1g65907	35.2	35.2	35.2
at3g31955	35.2	35.2	35.2
at5g61150	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator	VIP4
at5g35777	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
atcg00770	GMM:29.2.1.1.1.1.8	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S8	RPS8
at1g68110	GMM:35.1.21	not assigned.no ontology.epsin N-terminal homology (ENTH) domain-containing protein	35.2
at5g20390	GMM:26.4.1	"misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase"	35.2
at3g03225	35.2	35.2	35.2
at3g26810	GMM:17.2.2	hormone metabolism.auxin.signal transduction	AFB2
at3g01460	GMM:27.3.59	RNA.regulation of transcription.methyl binding domain proteins	ATMBD9;MBD9
at5g00920	35.2	35.2	35.2
at2g42970	GMM:29.2.7.1.2	protein.synthesis.transfer RNA.nucleus.tRNA-Arg	35.2
at2g25964	35.2	35.2	35.2
at3g45577	GMM:27.1.1	RNA.processing.splicing	35.2
at5g04235	GMM:28.1.1.2	DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon	35.2
at4g23410	GMM:33.99	development.unspecified	TET5
at5g46820	35.2	35.2	35.2
at2g18680	35.2	35.2	35.2
at1g20890	GMM:35.2	not assigned.unknown	35.2
at5g18550	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family	35.2
at2g07200	35.2	35.2	35.2
at4g08095	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at4g34138	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	UGT73B1
at3g33081	35.2	35.2	35.2
at2g40640	GMM:35.2	not assigned.unknown	35.2
at4g04985	35.2	35.2	35.2
at3g02242	35.2	35.2	35.2
at2g03870	GMM:27.1	RNA.processing	35.2
at3g49500	GMM:27.2	RNA.transcription	SGS2;SDE1;RDR6
at3g05800	GMM:27.3.6	RNA.regulation of transcription.basic helix-loop-helix family (bHLH)	AIF1
at5g47700	GMM:29.2.1.2.2.81	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P1	35.2
at3g43863	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at3g09655	35.2	35.2	35.2
at5g35344	35.2	35.2	35.2
at1g49750	35.2	35.2	35.2
at3g42471	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at3g56720	GMM:35.2	not assigned.unknown	35.2
at5g28165	GMM:28.1.1.5	DNA.synthesis/chromatin structure.retrotransposon/transposase.CACTA-like transposase	35.2
at5g05155	35.2	35.2	35.2
at1g54310	35.2	35.2	35.2
at4g36560	35.2	35.2	35.2
at4g37460	GMM:20.1.3	stress.biotic.signalling	SRFR1
at5g16880	GMM:31.4	cell.vesicle transport	35.2
at4g35390	GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator	AGF1
at3g04045	35.2	35.2	35.2
at4g04394	35.2	35.2	35.2
at1g70645	GMM:32	"micro RNA, natural antisense etc"	35.2
at1g15690	GMM:34.30	transport.H+ transporting pyrophosphatase	AtVHP1;1;AVP-3;AVP1;ATAVP3
at4g32680	35.2	35.2	35.2
at3g32387	GMM:20.2.1	stress.abiotic.heat	35.2
at5g03900	35.2	35.2	35.2
at2g33420	35.2	35.2	35.2
at1g71940	35.2	35.2	35.2
at1g52770	GMM:30.11	signalling.light	35.2
at4g07517	GMM:28.1.1.5	DNA.synthesis/chromatin structure.retrotransposon/transposase.CACTA-like transposase	35.2
at1g36000	GMM:27.3.37	RNA.regulation of transcription.lateral organ boundaries gene family (AS2)	LBD5
at2g31710	35.2	35.2	35.2
at1g50680	GMM:27.3.3	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family"	35.2
at2g20722	GMM:29.2.2.3.2	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.snoRNAs	35.2
at2g41010	GMM:20.2.3;GMM:30.3	stress.abiotic.drought/salt;signalling.calcium	ATCAMBP25;CAMBP25
at3g51238	GMM:32	"micro RNA, natural antisense etc"	35.2
at5g03735	35.2	35.2	35.2
at3g49140	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	35.2
at5g00350	35.2	35.2	35.2
at4g26600	GMM:29.2.2.3.3	protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.methylotransferases	35.2
at2g22805	GMM:20.1.7.12	stress.biotic.PR-proteins.PR12 (plant defensins)	35.2
at3g21937	35.2	35.2	35.2
at1g05890	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	ARI5;ATARI5
at5g35310	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at4g24050	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	35.2
at4g25672	35.2	35.2	CPuORF12
at2g13230	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at4g33480	35.2	35.2	35.2
at4g08770	GMM:26.12	misc.peroxidases	Prx37
at1g65295	35.2	35.2	35.2
at1g18130	GMM:29.1.3	protein.aa activation.threonine-tRNA ligase	35.2
at3g51790	GMM:9.6	mitochondrial electron transport / ATP synthesis.cytochrome c	TG1;ATG1
at1g33130	GMM:28.1.1.5	DNA.synthesis/chromatin structure.retrotransposon/transposase.CACTA-like transposase	35.2
at1g66160	GMM:27.3.64	RNA.regulation of transcription.PHOR1	CMPG1;ATCMPG1
at4g35530	35.2	35.2	35.2
at4g06725	35.2	35.2	35.2
at4g10980	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at1g60450	GMM:3.1.1.2	minor CHO metabolism.raffinose family.galactinol synthases.putative	AtGolS7;GolS7
at1g02600	GMM:29.2.7.1.9	protein.synthesis.transfer RNA.nucleus.tRNA-His	35.2
at1g24062	GMM:20.1.7.12	stress.biotic.PR-proteins.PR12 (plant defensins)	35.2
at2g29990	GMM:9.2.1.4	mitochondrial electron transport / ATP synthesis.NADH-DH.type II.internal matrix	35.2
at1g13195	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	35.2
at5g38650	GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom	35.2
at5g43020	GMM:30.2.3	signalling.receptor kinases.leucine rich repeat III	35.2
at4g06835	35.2	35.2	35.2
at2g25510	35.2	35.2	35.2
at2g44520	GMM:19.99	tetrapyrrole synthesis.unspecified	COX10
at4g07925	35.2	35.2	35.2
at2g34555	GMM:17.6.1.13	hormone metabolism.gibberelin.synthesis-degradation.GA2 oxidase	GA2OX3;ATGA2OX3
at2g07620	GMM:28.99	DNA.unspecified	35.2
at2g03190	GMM:29.5.11.4.3.1	protein.degradation.ubiquitin.E3.SCF.SKP	ASK16;SK16
at5g28710	GMM:28.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase	35.2
at4g05835	35.2	35.2	35.2
at3g21490	GMM:15.2	"metal handling.binding, chelation and storage"	35.2
at4g21865	35.2	35.2	35.2
at1g34805	35.2	35.2	35.2
at2g29790	GMM:35.2	not assigned.unknown	35.2
at1g15090	GMM:29.2.7.1.3	protein.synthesis.transfer RNA.nucleus.tRNA-Asn	35.2
at3g63020	35.2	35.2	35.2
at1g51150	GMM:29.5.5	protein.degradation.serine protease	DegP6
at5g21030	GMM:33.99	development.unspecified	35.2
at2g09430	35.2	35.2	35.2
at4g07516	GMM:28.1.1.2	DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon	35.2
at5g58090	GMM:26.4.1	"misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase"	35.2
at3g24530	GMM:31.1	cell.organisation	35.2
at5g28240	35.2	35.2	35.2
at1g18970	GMM:20.2.99	stress.abiotic.unspecified	GLP4
at3g01145	35.2	35.2	35.2
at3g61763	35.2	35.2	35.2
at3g25280	GMM:34.13	transport.peptides and oligopeptides	35.2
at1g50810	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at5g21160	35.2	35.2	35.2
at1g76160	35.2	35.2	sks5
at5g53580	GMM:3.5	minor CHO metabolism.others	35.2
at5g59860	GMM:27.4	RNA.RNA binding	35.2
at1g01840	35.2	35.2	35.2
at3g42646	35.2	35.2	35.2
at1g62262	35.2	35.2	SLAH4
at5g00955	35.2	35.2	35.2
at2g03995	35.2	35.2	35.2
at5g65615	GMM:29.2.7.1.3	protein.synthesis.transfer RNA.nucleus.tRNA-Asn	35.2
at5g54570	GMM:26.3	"misc.gluco-, galacto- and mannosidases"	BGLU41
at5g61290	GMM:26.7	"misc.oxidases - copper, flavone etc"	35.2
at5g41630	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at1g03490	GMM:33.99	development.unspecified	NAC006;ANAC006
at4g04135	35.2	35.2	35.2
at2g04040	GMM:34.99	transport.misc	ATDTX1;TX1
at1g47813	35.2	35.2	35.2
at1g05160	GMM:17.6.1.4	hormone metabolism.gibberelin.synthesis-degradation.ent-kaurenoic acid hydroxylase/oxygenase	ATKAO1;CYP88A3;KAO1
at4g27300	GMM:30.2.24	signalling.receptor kinases.S-locus glycoprotein like	35.2
at5g18370	GMM:20.1.7	stress.biotic.PR-proteins	35.2
at3g44485	GMM:35.2	not assigned.unknown	35.2
at1g62700	GMM:33.99	development.unspecified	VND5;ANAC026
at1g43765	35.2	35.2	35.2
at3g42251	35.2	35.2	35.2
at5g01560	GMM:30.2.99	signalling.receptor kinases.misc	LECRKA4.3
at5g22290	GMM:33.99	development.unspecified	anac089;NAC089
at1g71695	GMM:26.12	misc.peroxidases	35.2
at1g78882	35.2	35.2	CPuORF56
at2g12835	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at3g29636	GMM:26.5	misc.acyl transferases	35.2
at5g60130	GMM:27.3.41	RNA.regulation of transcription.B3 transcription factor family	35.2
at1g57640	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at1g40101	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at5g46105	GMM:29.2.7.1.15	protein.synthesis.transfer RNA.nucleus.tRNA-Pro	35.2
at2g29130	GMM:16.10	secondary metabolism.simple phenols	LAC2;ATLAC2
at4g07493	35.2	35.2	35.2
at2g22630	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family	AGL17
at3g52100	GMM:27.3.99	RNA.regulation of transcription.unclassified	35.2
at4g09380	GMM:28.1.1.7	DNA.synthesis/chromatin structure.retrotransposon/transposase.mutator-like transposase	35.2
at1g70949	35.2	35.2	35.2
at1g63880	GMM:20.1.7	stress.biotic.PR-proteins	35.2
at3g61090	35.2	35.2	35.2
at1g78922	35.2	35.2	35.2
at5g32280	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at1g62850	GMM:29.2.5	protein.synthesis.release	35.2
at5g16740	GMM:34.3	transport.amino acids	35.2
at4g01245	35.2	35.2	35.2
at2g35760	35.2	35.2	35.2
at2g36420	35.2	35.2	35.2
at2g34330	35.2	35.2	35.2
at1g22890	35.2	35.2	35.2
at2g35890	GMM:30.3	signalling.calcium	CPK25
at5g27770	GMM:29.2.1.2.2.22	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L22	35.2
at2g26640	GMM:11.1.10	lipid metabolism.FA synthesis and FA elongation.beta ketoacyl CoA synthase	KCS11
at5g61228	35.2	35.2	CPuORF15
at5g19060	35.2	35.2	35.2
at1g19970	GMM:29.3.4.1	protein.targeting.secretory pathway.ER	35.2
at2g31980	GMM:29.5.3	protein.degradation.cysteine protease	AtCYS2;CYS2
at4g09225	35.2	35.2	35.2
at2g35710	GMM:35.1	not assigned.no ontology	35.2
at3g05410	GMM:35.2	not assigned.unknown	35.2
at4g02180	GMM:35.1.26	not assigned.no ontology.DC1 domain containing protein	35.2
at5g39960	GMM:30.5	signalling.G-proteins	35.2
at1g06880	GMM:29.2.7.1.8	protein.synthesis.transfer RNA.nucleus.tRNA-Gly	35.2
at5g28626	GMM:28.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase	35.2
at3g42148	35.2	35.2	35.2
at1g55810	GMM:23.3.1.3	nucleotide metabolism.salvage.phosphoribosyltransferases.uracil phosphoribosyltransferase (UPP)	UKL3
at1g24095	GMM:35.2	not assigned.unknown	35.2
at4g18740	GMM:35.2	not assigned.unknown	35.2
at2g03200	GMM:29.5.4	protein.degradation.aspartate protease	35.2
at5g01900	GMM:27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family	ATWRKY62;WRKY62
at2g01000	35.2	35.2	35.2
at5g43630	GMM:27.3.12	RNA.regulation of transcription.C3H zinc finger family	TZP
at5g00480	35.2	35.2	35.2
at3g19570	GMM:35.2	not assigned.unknown	SCO3;QWRF1
at3g02875	GMM:17.2.1	hormone metabolism.auxin.synthesis-degradation	ILR1
at1g09470	GMM:35.2	not assigned.unknown	35.2
at5g54220	GMM:20.1.7.12	stress.biotic.PR-proteins.PR12 (plant defensins)	35.2
at3g42580	GMM:29.5.3	protein.degradation.cysteine protease	35.2
at3g06460	GMM:11.8.1	"lipid metabolism.exotics (steroids, squalene etc).sphingolipids"	35.2
at4g20500	35.2	35.2	35.2
at5g41265	GMM:29.2.7.1.5	protein.synthesis.transfer RNA.nucleus.tRNA-Cys	35.2
at2g31218	35.2	35.2	35.2
at2g36520	GMM:29.2.7.1.11	protein.synthesis.transfer RNA.nucleus.tRNA-Leu	35.2
at5g48740	GMM:30.2.1	signalling.receptor kinases.leucine rich repeat I	35.2
at3g05200	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	ATL6
at2g31890	35.2	35.2	RAP;ATRAP
at2g22465	GMM:35.2	not assigned.unknown	35.2
at4g15975	GMM:29.5.11.4.2	protein.degradation.ubiquitin.E3.RING	35.2
at1g54540	35.2	35.2	35.2
at5g25180	GMM:26.10	misc.cytochrome P450	CYP71B14
at5g44345	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at3g28910	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family	ATMYB30;MYB30
at2g14760	GMM:27.3.6	RNA.regulation of transcription.basic helix-loop-helix family (bHLH)	35.2
at3g61960	GMM:29.4	protein.postranslational modification	35.2
at4g31510	35.2	35.2	35.2
at2g47900	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	TLP3;AtTLP3
at1g07570	GMM:29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	APK1A
at1g64180	GMM:31.4	cell.vesicle transport	35.2
at2g20010	35.2	35.2	35.2
at1g05397	35.2	35.2	35.2
at1g56090	GMM:35.1.27	not assigned.no ontology.tetratricopeptide repeat (TPR)	35.2
at1g79070	GMM:31.4	cell.vesicle transport	35.2
at1g31530	GMM:28.1	DNA.synthesis/chromatin structure	35.2
at3g56670	35.2	35.2	35.2
at3g17070	GMM:26.12	misc.peroxidases	35.2
at4g36670	GMM:34.2	transport.sugars	35.2
at5g63595	GMM:16.8.4.1	secondary metabolism.flavonoids.flavonols.flavonol synthase (FLS)	FLS4;ATFLS4
at3g10526	35.2	35.2	35.2
at4g09560	GMM:29.5	protein.degradation	35.2
at4g03630	GMM:33.99	development.unspecified	35.2
at3g07325	35.2	35.2	35.2
at3g62840	GMM:27.1	RNA.processing	35.2
at5g38670	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at3g07975	35.2	35.2	35.2
at4g29080	GMM:30.11	signalling.light	PAP2;IAA27
at5g37072	35.2	35.2	35.2
at3g29000	GMM:30.3	signalling.calcium	35.2
at4g32200	GMM:28.99	DNA.unspecified	ASY2
at4g11020	35.2	35.2	35.2
at1g06323	35.2	35.2	35.2
at5g02135	35.2	35.2	35.2
at1g06757	35.2	35.2	35.2
at4g20870	GMM:11.2.2	lipid metabolism.FA desaturation.a hydroxylase	FAH2;ATFAH2
at2g00850	35.2	35.2	35.2
at4g00315	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at4g30067	GMM:20.1.7	stress.biotic.PR-proteins	LCR63
at2g01918	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	PQL3
at4g25610	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family	35.2
at2g04130	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at4g33460	GMM:34.16	transport.ABC transporters and multidrug resistance systems	EMB2751;ATNAP13
at2g09005	35.2	35.2	35.2
at2g15960	35.2	35.2	35.2
at5g01835	35.2	35.2	35.2
at3g42860	GMM:27.3.11	RNA.regulation of transcription.C2H2 zinc finger family	35.2
at4g09090	GMM:26.4	"misc.beta 1,3 glucan hydrolases"	35.2
at1g71080	35.2	35.2	35.2
at3g58780	GMM:33.99	development.unspecified	SHP1;AGL1
at1g30515	35.2	35.2	35.2
at3g30767	GMM:28.1.1.5	DNA.synthesis/chromatin structure.retrotransposon/transposase.CACTA-like transposase	35.2
at3g14820	GMM:26.28	misc.GDSL-motif lipase	35.2
at3g58230	35.2	35.2	35.2
at5g40870	GMM:23.3.1.3	nucleotide metabolism.salvage.phosphoribosyltransferases.uracil phosphoribosyltransferase (UPP)	UK/UPRT1;UKL1;ATUK/UPRT1
at1g64620	GMM:27.3.8	RNA.regulation of transcription.C2C2(Zn) DOF zinc finger family	35.2
at1g08123	35.2	35.2	35.2
at5g12930	35.2	35.2	35.2
at3g30768	35.2	35.2	35.2
at3g12230	GMM:29.5.5	protein.degradation.serine protease	scpl14
at4g07502	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at2g15318	35.2	35.2	35.2
at5g02680	35.2	35.2	35.2
at3g21630	GMM:30.2.21	signalling.receptor kinases.lysine motif	CERK1;LYSM RLK1
at5g57300	GMM:18	Co-factor and vitamine metabolism	35.2
at3g26130	GMM:26.3.5	"misc.gluco-, galacto- and mannosidases.glycosyl hydrolase family 5"	35.2
at1g04283	35.2	35.2	35.2
at5g08690	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase	35.2
at2g43500	GMM:27.3.60	RNA.regulation of transcription.NIN-like bZIP-related family	35.2
at4g09095	35.2	35.2	35.2
at1g31885	GMM:34.19.99	transport.major intrinsic proteins.unspecified	NIP3;1
at1g78620	35.2	35.2	35.2
at1g30974	35.2	35.2	35.2
at2g23260	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	UGT84B1
at1g51370	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at3g61030	GMM:35.1.19	not assigned.no ontology.C2 domain-containing protein	35.2
at1g01900	GMM:29.5.1	protein.degradation.subtilases	ATSBT1.1;SBTI1.1
at3g47310	GMM:28.1.1.7	DNA.synthesis/chromatin structure.retrotransposon/transposase.mutator-like transposase	35.2
at1g77630	35.2	35.2	35.2
at4g09550	GMM:35.2	not assigned.unknown	GIP1;ATGIP1
at5g59990	35.2	35.2	35.2
at4g35655	35.2	35.2	35.2
at4g02800	35.2	35.2	35.2
at5g50310	35.2	35.2	35.2
at3g19220	35.2	35.2	SCO2;CYO1
at3g43410	35.2	35.2	35.2
at5g58180	GMM:31.4	cell.vesicle transport	YKT62;ATYKT62
at1g07150	GMM:30.6	signalling.MAP kinases	35.2
at5g17360	35.2	35.2	35.2
at1g25510	GMM:29.5.4	protein.degradation.aspartate protease	35.2
at4g35920	GMM:35.2	not assigned.unknown	35.2
at5g56090	GMM:29.1	protein.aa activation	COX15
at5g42645	GMM:28.1.1.3	DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon	35.2
at3g17510	GMM:29.4	protein.postranslational modification	CIPK1;SnRK3.16
at4g29540	GMM:35.1	not assigned.no ontology	35.2
at1g73410	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family	MYB54;ATMYB54
at2g34170	GMM:35.2	not assigned.unknown	35.2
at5g37290	GMM:35.1.3	not assigned.no ontology.armadillo/beta-catenin repeat family protein	35.2
at1g27330	35.2	35.2	35.2
at2g23050	GMM:30.11	signalling.light	NPY4
at5g65910	GMM:27.3.65	RNA.regulation of transcription.polycomb group (PcG)	35.2
at5g56560	GMM:29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	35.2
at2g18250	GMM:20.2.3;GMM:18.4.8;GMM:33.99	stress.abiotic.drought/salt;Co-factor and vitamine metabolism.pantothenate.pantetheine-phosphate adenylyltransferase  (PPAT);development.unspecified	COAD;ATCOAD
at3g30620	GMM:28.1.1.1	DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon	35.2
at3g02940	GMM:27.3.25	RNA.regulation of transcription.MYB domain transcription factor family	AtMYB107;MYB107
